fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime
0.0939716312056738,0.195035460992908,0.0602836879432624,0.125886524822695,0.443262411347518,0.0815602836879433
0.00558659217877095,0.0544692737430168,0.0195530726256983,0.0405027932960894,0.712290502793296,0.167597765363129
0.00632111251580278,0.0606826801517067,0.0189633375474083,0.0290771175726928,0.745891276864728,0.139064475347661
0.121212121212121,0.101818181818182,0.172121212121212,0.427878787878788,0.161212121212121,0.0157575757575758
0.164571428571429,0.109714285714286,0.266285714285714,0.244571428571429,0.2,0.0148571428571429
0.11864406779661,0.080225988700565,0.261016949152542,0.245197740112994,0.270056497175141,0.0248587570621469
0.104513064133017,0.0831353919239905,0.122327790973872,0.172209026128266,0.459619952494062,0.0581947743467934
0.315789473684211,0.186234817813765,0.15080971659919,0.0374493927125506,0.307692307692308,0.00202429149797571
0.136160714285714,0.107142857142857,0.246651785714286,0.220982142857143,0.271205357142857,0.0178571428571429
0.0799573560767591,0.0628997867803838,0.287846481876333,0.12046908315565,0.436034115138593,0.0127931769722815
0.257142857142857,0.174489795918367,0.209183673469388,0.0591836734693878,0.295918367346939,0.00408163265306123
0.156217882836588,0.129496402877698,0.249743062692703,0.0585817060637205,0.399794450154162,0.00616649537512847
0.127637130801688,0.105485232067511,0.280590717299578,0.100210970464135,0.376582278481013,0.00949367088607595
0.193219845191028,0.0964414400537243,0.124441034154723,0.178407131914682,0.367218352378995,0.0402721963068477
0.0933052787534755,0.091563331146185,0.332490943353288,0.0934967898263229,0.381596223389409,0.00754743353131909
0.120341141088036,0.106642837157997,0.295012823668306,0.150090268407304,0.301534860150147,0.026378069528211
0.119658471043646,0.0809364271854415,0.263261097694696,0.236636507594404,0.273656574001917,0.0258509224798953
0.140853092568511,0.10882306817256,0.247636196233137,0.234865030672237,0.252360366863356,0.0154622454901997
0.2786,0.1547,0.0857,0.0428,0.4367,0.0015
0.2276,0.1391,0.1084,0.0426,0.4799,0.0024
0.2162,0.1202,0.0732,0.0476,0.5391,0.0037
0.1347,0.0963,0.0937,0.0437,0.6258,0.0058
0.0604,0.0614,0.1197,0.0356,0.7173,0.0056
0.0578057805780578,0.0471047104710471,0.112611261126113,0.0349034903490349,0.739173917391739,0.0084008400840084
0.576,0.0334,0.0188,0.0171,0.3517,0.003
0.5022,0.0373,0.0237,0.0215,0.4127,0.0026
0.3809,0.0452,0.0271,0.0254,0.5178,0.0036
0.2723,0.0395,0.0197,0.0145,0.649,0.005
0.5692,0.0298,0.0134,0.0125,0.3739,0.0012
0.5399,0.0271,0.0146,0.015,0.4014,0.002
0.483348334833483,0.029002900290029,0.0153015301530153,0.0158015801580158,0.454245424542454,0.0023002300230023
0.4396,0.0336,0.0141,0.0132,0.4978,0.0017
0.3881,0.0378,0.0146,0.0096,0.5465,0.0034
0.2533,0.1259,0.0553,0.0183,0.5441,0.0031
0.0421801422703136,0.0270513976555455,0.166316000400761,0.0499949904819156,0.701633102895501,0.0128243662959623
0.0384038403840384,0.0317031703170317,0.162616261626163,0.0419041904190419,0.713571357135714,0.0118011801180118
0.0781312525010004,0.0684273709483794,0.148459383753501,0.0430172068827531,0.653061224489796,0.00890356142456983
0.0895716573258607,0.0704563650920737,0.134407526020817,0.0416333066453163,0.657726180944756,0.00620496397117694
0.103386094970948,0.0794429973953116,0.124423963133641,0.0426768182728912,0.64395912642757,0.00611099979963935
0.0969290787236171,0.0624187256176853,0.270081024307292,0.0314094228268481,0.535460638191458,0.00370111033309993
0.0944472236118059,0.0731365682841421,0.255927963981991,0.0348174087043522,0.538069034517259,0.00360180090045023
0.0950380152060824,0.079031612645058,0.183773509403762,0.0306122448979592,0.605142056822729,0.00640256102440976
0.115746298519408,0.0900360144057623,0.158263305322129,0.0269107643057223,0.603541416566627,0.00550220088035214
0.148489093456074,0.104562737642586,0.126275765459276,0.0226135681408845,0.593756253752251,0.00430258154892936
0.16504854368932,0.113101791612451,0.108197377639876,0.0222199979981984,0.587528775898309,0.00390351316184566
0.19595676541233,0.118995196156926,0.0769615692554043,0.0194155324259408,0.585768614891914,0.00290232185748599
0.0947368419052632,0.0736842109263158,0.210526315789474,0.0736842109263158,0.536842104463158,0.0105263159894737
0.147368421,0.115789474,0.178947368,0.084210526,0.463157895,0.010526316
0.170212765829787,0.117021276882979,0.159574467840426,0.0851063829148936,0.457446808542553,0.0106382979893617
0.378787878787879,0.183982683982684,0.0541125541125541,0.0108225108225108,0.367965367965368,0.00432900432900433
0.333333333333333,0.102564102564103,0.141025641025641,0.102564102564103,0.307692307692308,0.0128205128205128
0.345982142857143,0.111607142857143,0.100446428571429,0.0446428571428571,0.390625,0.00669642857142857
0.159859976662777,0.17852975495916,0.166861143523921,0.0641773628938156,0.417736289381564,0.0128354725787631
0.0498281786941581,0.0687285223367698,0.0584192439862543,0.0859106529209622,0.501718213058419,0.235395189003436
0.140728476821192,0.0894039735099339,0.107615894039735,0.0695364238410596,0.59271523178808,0
0.28,0.14,0.02,0,0.56,0
0.0495662949194548,0.198265179677819,0.198265179677819,0.0941759603469641,0.446096654275093,0.0136307311028501
0.252016129032258,0.282258064516129,0.0756048387096774,0.0514112903225806,0.332661290322581,0.00604838709677419
